36c1ab05-fafc-3a78-b335-30a03d8bfec2,2b316fd2-1500-3f39-a8db-a786f789e04b,1526627261.100635,,"1247,1251,1236",kjxx200925042,,check,前沿预判跟踪,电子信息,,"会议,期刊"
21a8b7e5-594e-3c3b-b19f-36f7f427f653,2b316fd2-1500-3f39-a8db-a786f789e04b,1526627378.101356,,"1389,1368","jiangxyxjy200905005,jiangxyxjy200905059",197,check,前沿预判跟踪,生物医药,,"会议,期刊,专利"
14baf2a6-0c1f-3c59-9b32-d483ac22d5bb,2b316fd2-1500-3f39-a8db-a786f789e04b,1526627487.101656,,1551,,,check,前沿预判跟踪,电子信息,,会议
0c425c9f-39ae-3f57-865e-5aac58762cf0,2a528fad-f1db-3c5c-8ee0-cadd46f53492,1526627598.102129,,"2112,2113",jmzzyzdh200904015,262,check,前沿预判跟踪,新能源汽车,,"会议,期刊,专利"
dc29b8f2-3ea2-3a20-b2b0-dad0714ac72f,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526627724.102577,,,"hjjy200909025,hnaqyfz200908020",299,check,前沿预判跟踪,节能环保,,"期刊,专利"
d6277df1-445d-3ff0-890b-b2d347e5db6e,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526627865.102906,,"1370,1374",jzgr200910023,193,check,前沿预判跟踪,新材料,,"会议,期刊,专利"
9d80eb7d-15df-3117-85f8-c4eaf2f7834e,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526627971.103187,,"1325,1319,1335","kjxx200926165,jiaos200920048","335,345",check,前沿预判跟踪,智能制造,,"会议,期刊,专利"
327eb339-52f3-32bc-935d-efb6a08ea503,2b316fd2-1500-3f39-a8db-a786f789e04b,1526628080.103464,,"1138,1140",jz200919040,"466,468",check,前沿预判跟踪,智能制造,,"会议,期刊,专利"
9ce4c7ca-5a22-30d1-88a2-7451e4ecce7c,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526628215.103818,,"1374,1424,1406",tcxb201704016,82,check,前沿预判跟踪,智能制造,,"会议,期刊,专利"
3907bba8-12a9-346f-86d7-b254543b1eef,2a528fad-f1db-3c5c-8ee0-cadd46f53492,1526628316.104194,,"1253,1593","jkbd-x201308184,jkbd-x201205017","229,230",check,前沿预判跟踪,生物医药,,"会议,期刊,专利"
