610fc221-0a4c-34b4-8c7d-fb011111160d,2b316fd2-1500-3f39-a8db-a786f789e04b,1526713632.712849,,"1247,1251,1236",kjxx200925042,,check,前沿预判跟踪,电子信息,,"会议,期刊"
baeea816-e824-3f34-a34c-5c9181606c97,2a528fad-f1db-3c5c-8ee0-cadd46f53492,1526713756.713793,,"1389,1368","jiangxyxjy200905005,jiangxyxjy200905059",197,check,前沿预判跟踪,生物医药,,"会议,期刊,专利"
9835be2d-8153-3586-8d07-bfa38e8eef2f,2b316fd2-1500-3f39-a8db-a786f789e04b,1526713870.714094,,1551,,,check,前沿预判跟踪,电子信息,,会议
3239ebe2-6948-3df5-8066-adc2e1c6fa74,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526713991.71511,,"2112,2113",jmzzyzdh200904015,262,check,前沿预判跟踪,新能源汽车,,"会议,期刊,专利"
f63e26b4-e492-3ff5-aa3f-dd1e75396143,2b316fd2-1500-3f39-a8db-a786f789e04b,1526714111.716403,,,"hjjy200909025,hnaqyfz200908020",299,check,前沿预判跟踪,节能环保,,"期刊,专利"
b8d4337d-966f-34e1-8f07-954dc6e96128,2b316fd2-1500-3f39-a8db-a786f789e04b,1526714259.717277,,"1370,1374",jzgr200910023,193,check,前沿预判跟踪,新材料,,"会议,期刊,专利"
2ad4e114-3d83-3fae-a020-e79fb70ad6ae,2a528fad-f1db-3c5c-8ee0-cadd46f53492,1526714351.718037,,"1325,1319,1335","kjxx200926165,jiaos200920048","335,345",check,前沿预判跟踪,智能制造,,"会议,期刊,专利"
6f5385a3-678e-3ce9-ad04-169a36a6f347,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526714497.718377,,"1138,1140",jz200919040,"466,468",check,前沿预判跟踪,智能制造,,"会议,期刊,专利"
ea55248a-29a2-36be-8db5-9fda2c6a3861,e24ac7ba-a31c-3721-85fc-8f99813afbb1,1526714609.718789,,"1374,1424,1406",tcxb201704016,82,check,前沿预判跟踪,智能制造,,"会议,期刊,专利"
62f35579-d744-30a9-9b8e-af198c391276,2b316fd2-1500-3f39-a8db-a786f789e04b,1526714736.720118,,"1253,1593","jkbd-x201308184,jkbd-x201205017","229,230",check,前沿预判跟踪,生物医药,,"会议,期刊,专利"
